MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000373,0,0.8495730967726591,39.21332851333032,1,10,9
E02000374,0,0.29781175059952036,27.84842760791367,1,3,8
E02000375,0,0.3850854339496157,31.148660008684324,1,5,8
E02000376,0,0.2649112598196101,30.261164242071576,1,3,8
E02000377,0,0.18904177513325895,28.286956117515807,1,1,8
E02000378,0,0.5995815984646412,23.67004650803461,1,8,7
E02000379,0,0.3112050457173822,19.271693340284113,1,3,6
E02000380,0,0.40860762587583505,17.501367217062263,1,5,5
E02000381,0,0.45551968155683326,20.110977892695537,1,6,6
E02000382,0,0.6452005424247113,21.62350389071416,1,8,6
E02000383,0,0.6805798558931255,17.56270871783737,1,9,5
E02000384,0,0.22976980652450218,32.95610309278351,1,2,9
E02000385,0,0.2545757071547421,17.250843427620634,1,2,5
E02000386,0,0.22599461123440479,30.904684308148884,1,2,8
E02000387,0,0.2992772667542707,22.140879927726676,1,3,7
E02000388,0,0.422983773310729,19.704416081375637,1,5,6
E02000389,0,0.7677424613397943,11.327990161545001,1,9,3
E02000390,0,0.3604786947699698,18.475516601101493,1,4,6
E02000391,0,0.37233724277924457,17.440295185278547,1,4,5
E02000392,0.16666666666666666,0.3433898754606039,17.888424573817947,2,4,5
E02000393,0.25,0.848368830290737,9.297754901960785,3,10,2
E02000394,0,0.6945800879531079,19.704611542473057,1,9,6
E02000395,0.5,0.5044973614314672,10.788867529880477,4,6,3
E02000396,0,0.37852406433605257,18.11127878699092,1,4,5
E02000397,0,0.5050933172787477,26.154820830824807,1,6,7
E02000398,0,0.5711102372525888,49.73926438589592,1,7,10
E02000400,0,0.44703004780041405,21.73250910636231,1,6,6
E02000401,0,0.4699910244226215,43.1129188879335,1,6,10
E02000402,0,0.2367480643240024,41.390514294222754,1,2,10
E02000403,0,0.45754232939969214,25.146772575679837,1,6,7
E02000404,0,0.4657465495608532,31.824714052697615,1,6,8
E02000405,0.25,0.623394451833555,11.869625451263536,3,8,3
E02000406,0,0.3947283187726401,33.526464102564105,1,5,9
E02000407,0,0.6232034934142772,40.34503501544799,1,8,9
E02000408,0,0.2201823996209878,37.74927442852067,1,2,9
E02000409,0,0.3127358490566038,39.809839622641505,1,3,9
E02000410,0,0.7838809783130986,11.072047169811322,1,9,3
E02000411,0,0.6822887205660848,32.82515801935351,1,9,9
E02000412,0,0.2345452159075994,34.36582609266308,1,2,9
E02000413,0.5,0.4493637327677625,15.14302187168611,4,6,4
E02000414,0,0.7960178561289956,29.478185814455234,1,10,8
E02000415,0,0.2205020920502092,27.363437377963738,1,2,8
E02000416,0,0.3168369002392959,28.27418700231184,1,3,8
E02000417,0.25,0.2760901558701326,13.702921983624284,3,3,4
E02000418,0.25,0.5897591405302374,11.936608213481199,3,8,3
E02000419,0,0.4797205948625507,25.24468995042812,1,6,7
E02000420,0,0.2738797539851889,36.060579013430406,1,3,9
E02000421,0,0.3708729445686467,41.38769233822945,1,4,10
E02000422,0,0.700458761251314,29.55728720009455,1,9,8
E02000423,0,0.3447031223095907,23.014229825517994,1,4,7
E02000424,0,0.2490172156703267,19.608352853463465,1,2,6
E02000425,0,0.567721780335082,27.75180733118971,1,7,8
E02000426,0,0.49454890188023387,15.292752093537683,1,6,5
E02000427,0,0.4742021614274084,25.72474003121896,1,6,7
E02000428,0,0.22861842105263158,31.039075784412955,1,2,8
E02000429,0,0.5747221580363598,13.435188500212433,1,7,4
E02000430,0,0.7402395209580838,15.082182035928144,1,9,4
E02000431,0,0.7631113854688133,13.944561375321337,1,9,4
E02000432,0,0.2660281167928318,23.337715896802102,1,3,7
E02000433,0.5,0.4662407616184392,12.482092947513467,4,6,3
E02000434,0.2,0.2582799501187243,14.779285080601536,3,3,4
E02000435,0,0.4307081124455728,20.201595351162208,1,5,6
E02000436,0.5,0.6316621611681195,7.798958944793851,4,8,2
E02000437,0,0.7392477769766883,16.723624657534245,1,9,5
E02000438,0.2,0.44697394566894133,17.792472801788374,3,6,5
E02000439,0,0.3876811901844955,18.491538833832678,1,5,6
E02000440,0.4,0.7234850018881038,10.34400540709161,4,9,2
E02000441,0.25,0.28595609247191517,16.71795202528009,3,3,5
E02000442,0,0.9240751781425026,14.42063598736521,1,10,4
E02000443,0,0.5730465502909393,22.047791874480463,1,7,7
E02000444,0.2,0.5171982444181347,11.77786923426494,3,7,3
E02000445,0,0.6412146306132303,21.70237862385321,1,8,6
E02000447,0.25,0.4030679657254551,12.470775442637109,3,5,3
E02000448,0.75,0.7445177334000516,6.753953759723423,5,9,1
E02000449,0,0.4814125867968199,18.324676744741872,1,6,6
E02000451,0.75,0.852112445159175,7.442853752595669,5,10,1
E02000452,0,0.5081071512862875,17.714393202737785,1,7,5
E02000453,0,0.5275067988135339,12.560251079047971,1,7,3
E02000454,1,1,5.780740514423759,6,10,1
E02000455,0,0.6484586684608092,17.89532376525276,1,8,5
E02000456,0.25,0.46698106365541797,14.761816315281797,3,6,4
E02000457,0.25,0.5192936266638409,11.889864488152392,3,7,3
E02000459,0,0.37919948136765264,20.526021327554744,1,4,6
E02000460,0,0.2571428571428571,22.851053702318623,1,2,7
E02000461,0.25,0.5565041062924492,9.606814901528715,3,7,2
E02000462,0,0.5355504003822706,16.83032523063406,1,7,5
E02000463,0,0.5051734557060035,19.378858748953476,1,6,6
E02000464,0,0.5830196008790428,28.932727259946578,1,8,8
E02000465,0,0.2597714320543687,28.40643022582513,1,3,8
E02000466,0,0.18534080298786182,23.82434010270775,1,1,7
E02000467,0,0.18882392408703152,39.52100239624269,1,1,9
E02000468,0,0.5777080424689113,19.320320913016655,1,7,6
